,Timestamp_rome,Open,High,Low,Close,Volume,Trades,fast_period,slow_period,macd,signal,hist,atr,Trade_Direction,stop_loss,price_slope,donchain_pos,sar,Rsi_9,Rsi_14,OBV,ema_50_slope,ema_200_slope,ema_gap,distance_from_ema_50,distance_from_ema_200
682,2022-12-11 21:35:00+01:00,17115.18,17123.82,17100.44,17117.11,934.57092,0.0,17118.014533618363,17146.22532432503,-28.210790706667467,-29.97916558897344,1.7683748823059737,24.10698012518005,1,17056.84254968705,-7.395969924811918,0.15907973113285057,17193.92545434627,28.338640807102717,32.4819430526295,-18553.823949999995,0.5688941099659163,0.1915858001839499,0.01646091742311164,0.0029030076985015986,0.002737947832938614
729,2022-12-12 01:30:00+01:00,16977.7,17012.7,16970.46,17005.09,1797.16001,0.0,16988.715888065093,17018.604171387666,-29.888283322572534,-32.41327872983855,2.524995407266019,29.93899132707182,1,16930.24252168232,-7.781571428572997,0.29466212379329837,17041.057169326083,35.41853110612122,34.26284328172868,-20618.194639999983,-1.2606587028260705,-0.4646113315831856,-0.2678002224591289,0.005088421184393281,0.007787277756139021
746,2022-12-12 02:55:00+01:00,16954.29,16962.2,16942.65,16951.26,990.52418,0.0,16950.574458087296,16942.272474499227,8.301983588069561,9.490211422746164,-1.1882278346766029,22.57387305985309,-1,17007.69468264963,-1.415751879699248,0.329989094874571,16936.06704750355,36.05783639451295,35.63638136739037,-24992.565609999983,-2.5614269126516573,-0.986517419698974,-0.4809653115967981,0.00452607364918676,0.009380845377354348
853,2022-12-12 11:50:00+01:00,16994.12,16998.66,16990.34,16993.61,620.10818,1.0,16993.03808190685,16984.39068063525,8.647401271598937,8.65869818652081,-0.011296914921873125,11.737090490865516,-1,17022.952726227166,2.5523308270665486,0.7953224467201708,16976.49,73.90882157652126,72.14742630301323,-23520.660519999965,0.17537808305847974,-0.691963417299827,-0.25868243983278577,0.0023089953675071656,0.0002785495896954607
876,2022-12-12 13:45:00+01:00,16950.16,16980.9,16949.58,16978.52,1532.88212,1.0,16958.18463471527,16971.808799191043,-13.624164475771977,-16.643856274638786,3.019691798866809,19.254944629140226,1,16930.38263842715,-1.8413984962412737,0.6478353283365056,16987.696849772543,55.18318826016754,53.2615147328518,-32221.148949999962,0.9446642103735567,-0.24186065760952513,-0.1603559757488765,0.0006959764378641176,0.0009090410212241888
968,2022-12-12 21:25:00+01:00,17056.59,17067.48,17054.42,17061.23,699.16144,0.0,17061.59886533461,17050.662215129603,10.936650205007027,11.488687281391226,-0.5520370763841989,13.91246673940491,-1,17096.01116684851,2.617977443609695,0.7374501992031789,17032.288840889425,66.02910205990273,65.39685307677934,-26435.40605999996,0.38487125470641137,0.1558129649380962,0.10287939674017171,0.002202433831253573,0.0032279069474604087
980,2022-12-12 22:25:00+01:00,17188.94,17197.07,17175.68,17183.41,828.75491,0.0,17183.42384001699,17149.386313334788,34.03752668220113,35.472948452343104,-1.4354217701419714,24.071386166749807,-1,17243.588465416873,8.491533834586914,0.8702433272590879,17143.085914316798,84.2405339421154,82.49813260165317,-19480.829979999955,1.0438872208825394,0.3690279114756407,0.2706919815315287,0.006812599736532912,0.009493820540902982
1135,2022-12-13 11:20:00+01:00,17399.14,17415.29,17397.2,17410.35,929.13988,0.0,17406.028077441933,17336.231465919915,69.7966115220188,71.18625486412496,-1.3896433421061687,41.98216278944146,-1,17515.305406973603,15.304819548873413,0.7397677793904167,17309.176839440002,78.71241043043686,77.5595024302697,-6310.063269999952,0.5096690069603891,0.5173219847139906,0.42653723737538957,0.010749507774491742,0.014951108104778506
1178,2022-12-13 14:55:00+01:00,17863.43,17910.0,17859.03,17897.86,2102.2311,0.0,17895.43545736232,17776.06818972609,119.36726763622937,127.46811180304945,-8.100844166820082,79.03423083416267,-1,18095.445577085407,30.651624060151047,0.8311735537190093,17576.089838531105,77.56202655795248,77.21429593678873,645.0934500000453,5.422217907107607,2.6162620214427936,1.3144652833196322,0.021897744790593008,0.03458775361030178
1492,2022-12-14 17:05:00+01:00,18101.02,18119.84,18085.96,18086.31,1316.04485,0.0,18093.23173162245,18091.382704028532,1.8490275939184357,1.9084579582992944,-0.05943036438085869,40.58967144881092,-1,18187.784178622027,3.8142406015042076,0.7907511384234565,18025.0658,61.00821352923072,62.49487848282954,22624.695900000035,3.1601559742239487,1.6301088057830555,0.7563549829427905,0.006117602336325678,0.01357845087594692
