,Timestamp_rome,Open,High,Low,Close,Volume,Trades,fast_period,slow_period,macd,signal,hist,atr,Trade_Direction,stop_loss,recent_high_fast,recent_low_fast,recent_high_med,recent_low_med,recent_high_slow,recent_low_slow,from_high_fast,from_low_fast,from_high_med,from_low_med,from_high_slow,from_low_slow,sar,Rsi_9,Rsi_14,volatility_15min,high_volatility_15min,volatility_1h,high_volatility,trend_strenght_4h,strong_trend,price_change_4h,range_bound,ema_50,ema_200,ema_50_slope,ema_200_slope,ratio_ema_50,ratio_ema_200,above_ema_50,above_ema_200,distance_from_ema_50,distance_from_ema_200
682,2022-12-11 21:35:00+01:00,17115.18,17123.82,17100.44,17117.11,934.57092,0.0,17118.014533618363,17146.22532432503,-28.210790706667467,-29.97916558897344,1.7683748823059737,24.10698012518005,1,17056.84254968705,17179.4,17088.0,17270.99,17088.0,17270.99,17088.0,-0.0036258542207528127,0.0017035346441947906,-0.008909738237356458,0.0017035346441947906,-0.008909738237356458,0.0017035346441947906,17193.92545434627,28.338640807102717,32.4819430526295,0.000494433434231666,1,0.0006565853917427227,1,0.002650530805355711,1,0.010690472866038811,0,17166.8011021061,17163.975754230672,0.5688941099659163,0.1915858001839499,0.9971053953610494,0.9972695280568011,0,0,0.0029030076985015986,0.002737947832938614
729,2022-12-12 01:30:00+01:00,16977.7,17012.7,16970.46,17005.09,1797.16001,0.0,16988.715888065093,17018.604171387666,-29.888283322572534,-32.41327872983855,2.524995407266019,29.93899132707182,1,16930.24252168232,17087.67,16953.2,17129.3,16953.2,17270.99,16953.2,-0.004832724414738704,0.00306077908595424,-0.007251317917252843,0.00306077908595424,-0.015395759015551595,0.00306077908595424,17041.057169326083,35.41853110612122,34.26284328172868,0.0014228752302079212,1,0.0014236092803256563,1,0.006432301617628311,1,0.011510671216676769,0,17091.619060198514,17137.513359098142,-1.2606587028260705,-0.4646113315831856,0.994937339763205,0.9922728953539902,0,0,0.005088421184393281,0.007787277756139021
746,2022-12-12 02:55:00+01:00,16954.29,16962.2,16942.65,16951.26,990.52418,0.0,16950.574458087296,16942.272474499227,8.301983588069561,9.490211422746164,-1.1882278346766029,22.57387305985309,-1,17007.69468264963,16979.11,16942.65,17013.59,16921.0,17270.99,16921.0,-0.001640250872984637,0.000508184965161704,-0.0036635419097322637,0.0017883103835469772,-0.01851254618293469,0.0017883103835469772,16936.06704750355,36.05783639451295,35.63638136739037,0.00016938867011924,0,0.0006407695953447347,1,0.009462870766426046,1,0.012288172088682452,0,17027.982651206512,17110.27714901133,-2.5614269126516573,-0.986517419698974,0.9954943193930799,0.9907063370378825,0,0,0.00452607364918676,0.009380845377354348
853,2022-12-12 11:50:00+01:00,16994.12,16998.66,16990.34,16993.61,620.10818,1.0,16993.03808190685,16984.39068063525,8.647401271598937,8.65869818652081,-0.011296914921873125,11.737090490865516,-1,17022.952726227166,17008.4,16968.07,17008.4,16936.14,17008.4,16871.85,-0.000869570329954662,0.0015051800234205112,-0.000869570329954662,0.0033933351991658764,-0.000869570329954662,0.007216754534920714,16976.49,73.90882157652126,72.14742630301323,0.0006362610123349813,1,0.00045255459610314984,0,0.0036730528213229086,1,0.006173496979158628,0,16954.371833232777,16998.343563092945,0.17537808305847974,-0.691963417299827,1.0023143391659202,0.9997215279785718,1,0,0.0023089953675071656,0.0002785495896954607
876,2022-12-12 13:45:00+01:00,16950.16,16980.9,16949.58,16978.52,1532.88212,1.0,16958.18463471527,16971.808799191043,-13.624164475771977,-16.643856274638786,3.019691798866809,19.254944629140226,1,16930.38263842715,17005.97,16920.61,17010.0,16920.61,17010.0,16903.49,-0.0016141390347037378,0.003422453445827299,-0.0018506760728982696,0.003422453445827299,-0.0018506760728982696,0.004438728333616243,16987.696849772543,55.18318826016754,53.2615147328518,0.0009940435880893953,1,0.0009190360643275372,1,0.0026977163901624746,1,0.005264887634493431,0,16966.703350130196,16993.954171159676,0.9446642103735567,-0.24186065760952513,1.0006964611584204,0.9990917845838452,1,0,0.0006959764378641176,0.0009090410212241888
968,2022-12-12 21:25:00+01:00,17056.59,17067.48,17054.42,17061.23,699.16144,0.0,17061.59886533461,17050.662215129603,10.936650205007027,11.488687281391226,-0.5520370763841989,13.91246673940491,-1,17096.01116684851,17081.0,17029.63,17081.0,17005.7,17081.0,16920.61,-0.001157426380188539,0.0018555893463333346,-0.001157426380188539,0.0032653757269620674,-0.001157426380188539,0.008310575091559877,17032.288840889425,66.02910205990273,65.39685307677934,0.000765728890764685,1,0.0005106176284698263,1,0.0034075758279721313,1,0.005859483753516081,0,17023.6537698452,17006.15793715078,0.38487125470641137,0.1558129649380962,1.0022072952529943,1.0032383600724366,1,1,0.002202433831253573,0.0032279069474604087
980,2022-12-12 22:25:00+01:00,17188.94,17197.07,17175.68,17183.41,828.75491,0.0,17183.42384001699,17149.386313334788,34.03752668220113,35.472948452343104,-1.4354217701419714,24.071386166749807,-1,17243.588465416873,17207.62,17078.0,17207.62,17019.05,17207.62,16960.0,-0.0014069348346836535,0.00617226841550532,-0.0014069348346836535,0.009657413310378699,-0.0014069348346836535,0.013172759433962256,17143.085914316798,84.2405339421154,82.49813260165317,0.0007429603786889322,1,0.0010376449217539174,1,0.011477818419841412,1,0.013137671742686697,0,17066.346305561263,17020.273789179242,1.0438872208825394,0.3690279114756407,1.006859329603583,1.0095848170741222,1,1,0.006812599736532912,0.009493820540902982
1135,2022-12-13 11:20:00+01:00,17399.14,17415.29,17397.2,17410.35,929.13988,0.0,17406.028077441933,17336.231465919915,69.7966115220188,71.18625486412496,-1.3896433421061687,41.98216278944146,-1,17515.305406973603,17500.0,17191.12,17500.0,17155.5,17500.0,17080.14,-0.005122857142857226,0.01275251408866901,-0.005122857142857226,0.014855294220512287,-0.005122857142857226,0.019332979706255284,17309.176839440002,78.71241043043686,77.5595024302697,0.000763026023980542,1,0.0038474686870613377,1,0.012922796588130225,1,0.0241155404687442,0,17223.197307318376,17150.045975007968,0.5096690069603891,0.5173219847139906,1.0108663153154553,1.0151780365703602,1,1,0.010749507774491742,0.014951108104778506
1178,2022-12-13 14:55:00+01:00,17863.43,17910.0,17859.03,17897.86,2102.2311,0.0,17895.43545736232,17776.06818972609,119.36726763622937,127.46811180304945,-8.100844166820082,79.03423083416267,-1,18095.445577085407,18000.0,17508.0,18000.0,17395.0,18000.0,17080.14,-0.0056744444444444125,0.022267534841215478,-0.0056744444444444125,0.02890830698476577,-0.0056744444444444125,0.047875485798125846,17576.089838531105,77.56202655795248,77.21429593678873,0.0024925307217694144,1,0.005369740654179601,1,0.026970671030570603,1,0.03588473705794985,0,17505.937229422238,17278.813228168325,5.422217907107607,2.6162620214427936,1.0223879913106886,1.0358269265172964,1,1,0.021897744790593008,0.03458775361030178
1492,2022-12-14 17:05:00+01:00,18101.02,18119.84,18085.96,18086.31,1316.04485,0.0,18093.23173162245,18091.382704028532,1.8490275939184357,1.9084579582992944,-0.05943036438085869,40.58967144881092,-1,18187.784178622027,18133.64,18027.51,18133.64,17907.45,18133.64,17785.0,-0.0026100661532928917,0.0032616817297565176,-0.0026100661532928917,0.009988021745139625,-0.0026100661532928917,0.016941804891762793,18025.0658,61.00821352923072,62.49487848282954,0.0018580839963780258,1,0.0013465202559599279,1,0.01352823495788713,1,0.01613319687653263,0,17975.66514768849,17840.725928137854,3.1601559742239487,1.6301088057830555,1.0061552577555517,1.0137653631837267,1,1,0.006117602336325678,0.01357845087594692
